index,x_m,y_m
0,-0.000371,-0.000443
1,0.012151,-0.000445
2,0.024673,-0.000447
3,0.037195,-0.000449
4,0.049718,-0.000451
5,0.062240,-0.000453
6,0.074761,-0.000455
7,0.087283,-0.000457
8,0.099805,-0.000459
9,0.112326,-0.000460
10,0.124847,-0.000462
11,0.137368,-0.000463
12,0.149889,-0.000464
13,0.162410,-0.000465
14,0.174930,-0.000466
15,0.187450,-0.000466
16,0.199969,-0.000466
17,0.212488,-0.000466
18,0.225007,-0.000466
19,0.237526,-0.000465
20,0.250044,-0.000464
21,0.262562,-0.000463
22,0.275079,-0.000462
23,0.287596,-0.000460
24,0.300112,-0.000458
25,0.312628,-0.000455
26,0.325143,-0.000452
27,0.337658,-0.000449
28,0.350172,-0.000445
29,0.362686,-0.000441
30,0.375200,-0.000436
31,0.387712,-0.000431
32,0.400224,-0.000426
33,0.412736,-0.000420
34,0.425247,-0.000414
35,0.437757,-0.000407
36,0.450267,-0.000400
37,0.462776,-0.000392
38,0.475285,-0.000384
39,0.487792,-0.000376
40,0.500300,-0.000367
41,0.512806,-0.000357
42,0.525312,-0.000347
43,0.537818,-0.000337
44,0.550322,-0.000326
45,0.562826,-0.000314
46,0.575330,-0.000302
47,0.587832,-0.000290
48,0.600334,-0.000277
49,0.612836,-0.000264
50,0.625337,-0.000250
51,0.637837,-0.000235
52,0.650336,-0.000221
53,0.662835,-0.000205
54,0.675333,-0.000189
55,0.687831,-0.000173
56,0.700328,-0.000156
57,0.712824,-0.000139
58,0.725320,-0.000122
59,0.737815,-0.000103
60,0.750310,-0.000085
61,0.762804,-0.000066
62,0.775297,-0.000047
63,0.787790,-0.000027
64,0.800283,-0.000007
65,0.812774,0.000014
66,0.825266,0.000035
67,0.837757,0.000056
68,0.850247,0.000078
69,0.862737,0.000100
70,0.875226,0.000123
71,0.887715,0.000145
72,0.900204,0.000168
73,0.912692,0.000192
74,0.925180,0.000215
75,0.937667,0.000239
76,0.950154,0.000264
77,0.962641,0.000288
78,0.975127,0.000313
79,0.987613,0.000338
80,1.000099,0.000363
81,1.000088,0.012875
82,1.000078,0.025386
83,1.000067,0.037898
84,1.000056,0.050410
85,1.000045,0.062923
86,1.000034,0.075435
87,1.000023,0.087947
88,1.000011,0.100460
89,1.000000,0.112973
90,0.999988,0.125485
91,0.999976,0.137998
92,0.999965,0.150511
93,0.999953,0.163024
94,0.999941,0.175536
95,0.999929,0.188049
96,0.999917,0.200562
97,0.999906,0.213075
98,0.999894,0.225587
99,0.999883,0.238100
100,0.999871,0.250612
101,0.999860,0.263125
102,0.999849,0.275637
103,0.999838,0.288149
104,0.999828,0.300661
105,0.999817,0.313173
106,0.999807,0.325684
107,0.999797,0.338196
108,0.999787,0.350707
109,0.999778,0.363218
110,0.999769,0.375729
111,0.999760,0.388239
112,0.999752,0.400749
113,0.999744,0.413259
114,0.999736,0.425769
115,0.999729,0.438278
116,0.999722,0.450787
117,0.999715,0.463296
118,0.999709,0.475805
119,0.999704,0.488313
120,0.999699,0.500821
121,0.999694,0.513328
122,0.999690,0.525835
123,0.999686,0.525858
124,0.999683,0.550848
125,0.999680,0.563354
126,0.999678,0.575860
127,0.999676,0.588365
128,0.999675,0.600870
129,0.999675,0.613374
130,0.999675,0.625878
131,0.999675,0.638382
132,0.999676,0.650885
133,0.999678,0.663387
134,0.999680,0.675890
135,0.999683,0.688392
136,0.999686,0.700893
137,0.999690,0.713394
138,0.999695,0.725894
139,0.999700,0.738395
140,0.999705,0.750894
141,0.999712,0.763393
142,0.999719,0.775892
143,0.999726,0.788391
144,0.999734,0.800889
145,0.999743,0.813386
146,0.999752,0.825883
147,0.999761,0.838380
148,0.999772,0.850876
149,0.999783,0.863372
150,0.999794,0.875867
151,0.999806,0.888362
152,0.999818,0.900857
153,0.999831,0.913351
154,0.999845,0.925845
