index,x_m,y_m
0,-0.000148,-0.000177
1,0.012371,-0.000186
2,0.024891,-0.000195
3,0.037411,-0.000204
4,0.049930,-0.000213
5,0.062450,-0.000222
6,0.074970,-0.000231
7,0.087489,-0.000240
8,0.100008,-0.000249
9,0.112527,-0.000257
10,0.125046,-0.000266
11,0.137565,-0.000274
12,0.150083,-0.000282
13,0.162601,-0.000290
14,0.175119,-0.000298
15,0.187637,-0.000305
16,0.200154,-0.000313
17,0.212671,-0.000320
18,0.225188,-0.000327
19,0.237704,-0.000333
20,0.250220,-0.000339
21,0.262736,-0.000345
22,0.275251,-0.000351
23,0.287766,-0.000357
24,0.300280,-0.000362
25,0.312794,-0.000366
26,0.325308,-0.000371
27,0.337821,-0.000375
28,0.350333,-0.000378
29,0.362845,-0.000382
30,0.375357,-0.000385
31,0.387868,-0.000387
32,0.400378,-0.000389
33,0.412888,-0.000391
34,0.425397,-0.000392
35,0.437906,-0.000393
36,0.450415,-0.000394
37,0.462922,-0.000394
38,0.475429,-0.000393
39,0.487936,-0.000392
40,0.500442,-0.000391
41,0.512947,-0.000389
42,0.525452,-0.000387
43,0.537956,-0.000385
44,0.550459,-0.000382
45,0.562962,-0.000378
46,0.575464,-0.000374
47,0.587966,-0.000369
48,0.600467,-0.000364
49,0.612967,-0.000359
50,0.625467,-0.000353
51,0.637966,-0.000347
52,0.650465,-0.000340
53,0.662963,-0.000333
54,0.675460,-0.000325
55,0.687957,-0.000317
56,0.700453,-0.000308
57,0.712949,-0.000299
58,0.725444,-0.000290
59,0.737938,-0.000280
60,0.750432,-0.000270
61,0.762925,-0.000259
62,0.775418,-0.000248
63,0.787910,-0.000236
64,0.800402,-0.000224
65,0.812893,-0.000212
66,0.825384,-0.000199
67,0.837874,-0.000186
68,0.850363,-0.000173
69,0.862852,-0.000159
70,0.875341,-0.000145
71,0.887829,-0.000130
72,0.900317,-0.000115
73,0.912805,-0.000100
74,0.925292,-0.000085
75,0.937778,-0.000069
76,0.950265,-0.000053
77,0.962751,-0.000037
78,0.975236,-0.000020
79,0.987722,-0.000003
80,1.000206,0.000014
81,1.000193,0.012525
82,1.000179,0.025037
83,1.000165,0.037549
84,1.000151,0.050062
85,1.000136,0.062574
86,1.000121,0.075087
87,1.000106,0.087599
88,1.000091,0.100112
89,1.000076,0.112625
90,1.000061,0.125138
91,1.000045,0.137651
92,1.000030,0.150164
93,1.000014,0.162677
94,0.999999,0.175190
95,0.999983,0.187704
96,0.999968,0.200217
97,0.999952,0.212730
98,0.999937,0.225243
99,0.999921,0.237756
100,0.999906,0.250269
101,0.999891,0.262782
102,0.999875,0.275295
103,0.999860,0.287808
104,0.999846,0.300320
105,0.999831,0.312833
106,0.999817,0.325345
107,0.999802,0.337857
108,0.999788,0.350369
109,0.999775,0.362881
110,0.999761,0.375393
111,0.999748,0.387904
112,0.999735,0.400415
113,0.999722,0.412926
114,0.999710,0.425437
115,0.999698,0.437947
116,0.999687,0.450457
117,0.999676,0.462967
118,0.999665,0.475477
119,0.999655,0.487986
120,0.999645,0.500495
121,0.999635,0.513003
122,0.999627,0.525511
123,0.999618,0.525526
124,0.999610,0.550527
125,0.999602,0.563034
126,0.999595,0.575541
127,0.999589,0.588047
128,0.999583,0.600553
129,0.999577,0.613059
130,0.999572,0.625564
131,0.999568,0.638069
132,0.999564,0.650573
133,0.999561,0.663077
134,0.999558,0.675581
135,0.999556,0.688084
136,0.999554,0.700587
137,0.999553,0.713089
138,0.999552,0.725591
139,0.999553,0.738092
140,0.999553,0.750593
141,0.999554,0.763094
142,0.999556,0.775594
143,0.999559,0.788094
144,0.999562,0.800593
145,0.999565,0.813092
146,0.999570,0.825590
147,0.999574,0.838088
148,0.999580,0.850585
149,0.999586,0.863082
150,0.999592,0.875579
151,0.999599,0.888075
152,0.999607,0.900571
153,0.999615,0.913066
154,0.999624,0.925561
155,0.999633,0.938056
156,0.999643,0.950550
157,0.999653,0.963044
158,0.999664,0.975537
159,0.999676,0.988030
160,0.999688,1.000523
161,0.987196,1.000510
162,0.974705,1.000498
163,0.962215,1.000485
164,0.949725,1.000472
165,0.937236,1.000458
166,0.924747,1.000444
167,0.912258,1.000430
168,0.899770,1.000415
169,0.887282,1.000400
170,0.874794,1.000385
171,0.862307,1.000370
172,0.849821,1.000354
173,0.837334,1.000338
174,0.824848,1.000322
175,0.812362,1.000306
176,0.799877,1.000289
177,0.787392,1.000272
178,0.774907,1.000255
179,0.762422,1.000238
180,0.749938,1.000221
181,0.737453,1.000203
182,0.724969,1.000186
183,0.712485,1.000168
184,0.700001,1.000150
185,0.687518,1.000132
186,0.675034,1.000114
187,0.662551,1.000096
188,0.650067,1.000078
189,0.637584,1.000059
190,0.625101,1.000041
191,0.612618,1.000023
192,0.600134,1.000005
193,0.587651,0.999986
194,0.575168,0.999968
195,0.562684,0.999950
196,0.550201,0.999932
197,0.537717,0.999914
198,0.525234,0.999896
199,0.512750,0.999878
200,0.500266,0.999860
201,0.487782,0.999842
202,0.475298,0.999825
203,0.462813,0.999807
204,0.450329,0.999790
205,0.437844,0.999773
206,0.425359,0.999756
207,0.412873,0.999740
208,0.400388,0.999723
209,0.387902,0.999707
210,0.375416,0.999691
211,0.362929,0.999675
212,0.350442,0.999660
213,0.337955,0.999644
214,0.325467,0.999629
215,0.312979,0.999615
216,0.300491,0.999600
217,0.288002,0.999586
218,0.275513,0.999572
219,0.263023,0.999559
220,0.250533,0.999546
221,0.238042,0.999533
222,0.225551,0.999521
223,0.213060,0.999509
224,0.200568,0.999497
225,0.188075,0.999485
226,0.175582,0.999475
227,0.163089,0.999464
228,0.150595,0.999454
229,0.138100,0.999444
230,0.125605,0.999435
231,0.113109,0.999426
232,0.100613,0.999417
233,0.088116,0.999409
234,0.075619,0.999401
235,0.063121,0.999394
236,0.050623,0.999387
237,0.038124,0.999380
238,0.025624,0.999374
239,0.013124,0.999369
240,0.000624,0.999363
241,0.000621,0.986864
242,0.000617,0.974365
243,0.000613,0.961867
244,0.000609,0.949369
245,0.000603,0.949365
246,0.000598,0.936868
247,0.000591,0.924371
248,0.000584,0.899381
249,0.000577,0.886885
250,0.000569,0.874389
251,0.000560,0.861894
252,0.000551,0.849400
253,0.000542,0.836905
254,0.000532,0.824411
255,0.000521,0.811918
256,0.000510,0.799425
257,0.000498,0.786932
258,0.000486,0.774439
259,0.000474,0.761947
260,0.000461,0.749456
261,0.000447,0.736964
262,0.000433,0.724473
263,0.000419,0.711982
264,0.000404,0.699492
265,0.000389,0.687002
266,0.000374,0.674512
267,0.000358,0.662023
268,0.000341,0.649533
269,0.000325,0.637044
270,0.000308,0.624556
271,0.000290,0.612067
